source,target,value
0,13,50
0,29,50
1,30,50
1,9,50
2,36,50
2,10,50
3,5,50
3,26,50
4,20,50
4,38,50
5,25,50
5,2,50
6,37,50
6,24,50
7,41,50
7,40,50
8,22,50
8,7,50
9,37,50
9,2,50
10,23,50
10,0,50
11,38,50
11,32,50
12,16,50
12,12,50
13,36,50
13,38,50
14,16,50
14,26,50
15,29,50
15,35,50
16,7,50
16,3,50
17,0,50
17,2,50
18,41,50
18,4,50
19,26,50
19,5,50
20,21,50
20,1,50
21,15,50
21,30,50
22,18,50
22,9,50
23,23,50
23,39,50
24,40,50
24,39,50
25,10,50
25,27,50
26,1,50
26,25,50
27,16,50
27,16,50
28,7,50
28,8,50
29,0,50
29,15,50
30,15,50
30,23,50
31,38,50
31,5,50
32,39,50
32,35,50
33,22,50
33,7,50
34,3,50
34,40,50
35,33,50
35,5,50
36,27,50
36,0,50
37,31,50
37,17,50
38,12,50
38,20,50
39,19,50
39,9,50
40,10,50
40,7,50
41,11,50
41,27,50
42,4,50
42,22,50
43,14,50
43,14,50
44,23,50
44,20,50
45,35,50
45,3,50
46,6,50
46,27,50
47,25,50
47,12,50
48,14,50
48,41,50
49,10,50
49,12,50
